"Network layers","[34, 2]"
"Training error mean","29.401019132775691"
"Testing error mean","29.602564102564106"
"Training error real","25.739629800543508"
"Testing error real","24.544444444444448"

"0","31.016248437650223"
"0","33.131429670224016"
"0","24.05537929045284"

"0","31.384615384615383"
"0","33.38461538461539"
"0","24.03846153846154"

"0","25.61144439317028"
"0","27.74188586371327"
"0","23.86555914474696"

"0","24.366666666666667"
"0","26.3"
"0","22.966666666666665"
